username,useraddress,rating,review_date,review_text
Mark Z.,"Brooklyn, NY",4 star rating,"Nov 16, 2022","Lots of mediocre dishes but some tasty ones too. Maybe a bit too pricey for what you can get in Astoria (bz grill for example).  Service was mostly warm and attentive, although at peak hours (6pm and onward), it can get a little slow, especially if you're trying to close out.The pitas, although they were served warm, suffered from a cardboard texture just 5 minutes after hitting the table. Since I eat them with every dish, I was disappointed by this. And even at its freshest, this pita was a little flat and dense.We only ordered 2 dishes, but the chicken shish tawouk was my by far my favorite. It was fairly juicy, with nice grill marks. It also came with very seviceable french fries (light on grease and batter, which is a plus) and flavorful toum sauce (although it doesn't hold a candle to Shukette's toum.We also had the appetizer platter. This was fairly underwhelming in comparison, even though it was recommended by Robert Sietsema from Eater (0/2 on his recommendations recently). The hummus had a nice, clear chickpea flavor and was topped with olive oil and whole chickpea. The stuffed grape leaves were good; filled tight, with enough acidity. The kibbeh plus garlic sauce was the best part of this platter (served hot, with a light shell, and tightly filled). The salad was fine, but the msakaa was underwhelming (there was no clear flavor coming through)."
Glenn C.,"Cobble Hill, Brooklyn, NY",2 star rating,"Feb 7, 2023","I was at this Lebanese spot with one of my groups. They are located pretty close to Au Za'atar and Balade but this is more of a casual setting with less stuff on the menu (especially regarding mezze) but with somewhat similar prices. As this group doesn't tend to share (begrudgingly,) we got separate meals though I would probably recommend getting the mixed platter if you're in a group as it is a much better deal than the rest of the menu. I would describe the service in the most polite sense as gruff. I'm not sure if he woke up on the wrong side of the bed but I didn't find him friendly and we spent a good chunk of change so he could have been a bit nicer.I started with the Batata Harra or fried potatoes with spices which was $11.95. The potatoes had a pretty good fry but they were less spiced then many of the other better varieties I've tried. It was alright and mostly worth it for the price but as noted I've had better. I tried the Foul (or ful medames,) which is more common in Egypt but their version was fine. I also tried the Kibbeh which was fine as well.As I was likely planning on taking leftovers home, I went with the Mixed Grill which had three kabobs for $38.50. This consisted of veal, shish taouk, and kabob halabi which is strange because both the first (veal) and last (halabi) kabobs don't even exist on the rest of the menu. It was served on top of bread and came with some rice, garlic whip (AKA toum,) and some mixed vegetables (which by the photos was a grilled tomato, grilled pepper, and grilled onion.) The veal looked more like lamb though it was less tender. The chicken/shish taouk (or tawook) in the middle was similarly a bit bland needing the toum. The kabob halabi was essentially kofta and was easily the best of the meats being pretty tender and quite flavorful but would just be passable at most other spots. The rice on the side both lacked the golden raisins listed in the photo and was undercooked and rather terrible and the dish also lacked the grilled onion shown in the photo. For around $40, this was not worth it (and frankly laughable with the rice.) I tried the lamb shawarma which was a lot tastier, the lamb kabob which was better (so I guess it was veal,) and essentially gave the rest of my toum to another person who was having a dry shish tawouk wrap. I'm not sure if I caught this place on a bad day but it's hard for me to find anything really positive about this spot at least from what I ordered. The best stuff was only good because the rest was bad and the passable food would be just alright in a good Lebanese spot. I understand if this place was comparatively cheaper than the other sit-down spots nearby but it wasn't. Go to Au Za'atar where the food is just better at a slightly higher price and the service is nicer. I don't get the reviews at all as everything was under-spiced or under-cooked. 2 at best."
Vicky P.,"Brooklyn, NY",5 star rating,"Apr 3, 2023","Wow. One of the best meals I've had in the city in a while. The family platter for 4 was more than enough food for a group of 5. The proteins (chicken, beef, lamb chops) were so flavorful and juicy. The veggies and the salads were also very fresh. There is a bit of a wait here despite having a reservation. But, it was worth the wait!"
Amrita A.,"New York, NY",3 star rating,"Sep 19, 2023","Salma was quite the experience- the owner/manager seemed in a bit of a mood so maybe we went on an off day- I don't know. But it definitely threw all of us off. We were a party of 4.To start he said we could bring our own bottle of wine (BYOB) but we ""had"" to each order a main. To which we agreed. When we got ready to order he picked out what we could order from the main and what we could not (salads NO, sandwiches NO, big platters YES). He came off as a little harsh and I think he realized so he said he will throw in a free Kebab. Okay great, but then why not just let us order a sandwich? Anyway, it doesn't end there. When we decided to go get a second bottle of wine he simply refused saying he cannot hold up the table. To give perspective, the entire restaurant was empty.Rude, insensitive, inconsistent and plain off-putting. Food was nothing great to write home about either. And we ordered a lot!"
S. Anne T.,"Santa Clara, CA",4 star rating,"Sep 5, 2023",Ordered on Uber eats.Did the BOGO deal for the filet sandwich. It was pretty good. Will get it again. Delivery- did not follow all directions on order but overall it came out ok. Would order the sandwich again. Great for a Quick meal. Also ordered the eggplant dip - it was not anything to write home about. So def skip that if you're eyeing it.
Anamika K.,"East Elmhurst, NY",4 star rating,"Jun 13, 2023","The only thing redeeming about this place was the ambience, the spicy potatoes and the hummus. Decorated in a super cute way with lots of plants and cute lamps, it gives off a very homely rustic vibe. Overall the food could be better! We ordered the chicken and lamb dishes and while the portions were amazingly big, the food could've been seasoned better. The falafel wrap was average and the fries were good but also heavily seasoned. The potatoes were a redeeming quality. Would definitely get the potatoes starters and just enjoy a meal of sides rather than the main dishes. The service was kind of confusing(?). When we sat down the host was definitely trying to rush us to order and kept coming to our table 2-3 times asking us if we're ready. However, our food took a pretty long time after. Our starters arrived quickly but we had finished them and still had to wait a while before our mains came. Although I can imagine they were busy for a Tuesday night, which is understandable, but then don't rush folks to order?"
Zach K.,"Brooklyn, Brooklyn, NY",5 star rating,"Oct 21, 2023",Amazing food! The dolmas and appetizer tray was  to die for. Lebanese coffee was also so great. Will definitely be going back!
YingLinn C.,"New York, NY",5 star rating,"Mar 25, 2023","We came in as a big party on a Friday night and it was packed. Definitely make reservations. The place is a cute tiny restaurant, so definitely call for reservations ahead of time. We had a miscommunication with the server and Pierre accommodated and was more than happy to make things right. (Lots of respect for restaurant owners who make their customers happiness a priority).All the appetizers were delicious! The cheesy roll (forgive me I forgot the name) was similar to flaky crispy mozzarella sticks. The meats were savory and had lots of flavor. Overall such a great spot for snacks and food. **best of all, it's BYOB. With EV being a dominant drinking place, it's a great spot to pregame with a bit of food."
Renata G.,"New York, NY",3 star rating,"May 11, 2023","All the stars go to friendliness of the people working there. They were sweet, very welcoming and quick to seat and serve us. With that, it definitely built up the expectation of amazing food to go with the service. Unfortunately they didn't match up.The QR scan menu was easy to scroll through with lots of pictures. We wanted to share some light plates since it was already pretty late in the evening. We ordered fattoush salad, moutabal eggplant and falafel sandwich. It all came out pretty quick with a side of pita bread. - salad was overdressed with strong vinegar dressing overwhelming the taste of the vegetables. It unsuccessfully tried to mask old soggy cucumber slices and hard cardboard-like tomato. We didn't finish it- eggplant had an interesting taste to it. At first I liked it but then it started to feel like fake smoke or meat grease mix that gave that aftertaste- falafel sandwich was dry with a stale deli pita around it. I avoided the pita basket after trying to the falafel (didn't take a pic. It was underwhelming)Sad! Wish it was better! Hope it will will improve!"
Myrna C.,"New York, NY",3 star rating,"Jan 8, 2023","Friends suggested stopping by this place on a Sunday afternoon. I admittedly am not a huge Mediterranean food fan, but others in the group wanted to try so I thought, why not?One of the people in our party wanted to order a side of fries but the owner proposed some sort of alternative where the rest of us somehow lost our fries and yet the other person was still charged for the extra order of fries. I guess we were substituted rice instead? It was all pretty confusing.The bill also came out to be much more than what was on the menu, which seems to be a common occurrence based on other reviews I've read. Food was just okay especially considering the price point though portion size was decent. All in all, will probably not return again considering an abundance of other options in the area."
Mark Z.,"Brooklyn, NY",4 star rating,"Nov 16, 2022","Lots of mediocre dishes but some tasty ones too. Maybe a bit too pricey for what you can get in Astoria (bz grill for example).  Service was mostly warm and attentive, although at peak hours (6pm and onward), it can get a little slow, especially if you're trying to close out.The pitas, although they were served warm, suffered from a cardboard texture just 5 minutes after hitting the table. Since I eat them with every dish, I was disappointed by this. And even at its freshest, this pita was a little flat and dense.We only ordered 2 dishes, but the chicken shish tawouk was my by far my favorite. It was fairly juicy, with nice grill marks. It also came with very seviceable french fries (light on grease and batter, which is a plus) and flavorful toum sauce (although it doesn't hold a candle to Shukette's toum.We also had the appetizer platter. This was fairly underwhelming in comparison, even though it was recommended by Robert Sietsema from Eater (0/2 on his recommendations recently). The hummus had a nice, clear chickpea flavor and was topped with olive oil and whole chickpea. The stuffed grape leaves were good; filled tight, with enough acidity. The kibbeh plus garlic sauce was the best part of this platter (served hot, with a light shell, and tightly filled). The salad was fine, but the msakaa was underwhelming (there was no clear flavor coming through)."
Glenn C.,"Cobble Hill, Brooklyn, NY",2 star rating,"Feb 7, 2023","I was at this Lebanese spot with one of my groups. They are located pretty close to Au Za'atar and Balade but this is more of a casual setting with less stuff on the menu (especially regarding mezze) but with somewhat similar prices. As this group doesn't tend to share (begrudgingly,) we got separate meals though I would probably recommend getting the mixed platter if you're in a group as it is a much better deal than the rest of the menu. I would describe the service in the most polite sense as gruff. I'm not sure if he woke up on the wrong side of the bed but I didn't find him friendly and we spent a good chunk of change so he could have been a bit nicer.I started with the Batata Harra or fried potatoes with spices which was $11.95. The potatoes had a pretty good fry but they were less spiced then many of the other better varieties I've tried. It was alright and mostly worth it for the price but as noted I've had better. I tried the Foul (or ful medames,) which is more common in Egypt but their version was fine. I also tried the Kibbeh which was fine as well.As I was likely planning on taking leftovers home, I went with the Mixed Grill which had three kabobs for $38.50. This consisted of veal, shish taouk, and kabob halabi which is strange because both the first (veal) and last (halabi) kabobs don't even exist on the rest of the menu. It was served on top of bread and came with some rice, garlic whip (AKA toum,) and some mixed vegetables (which by the photos was a grilled tomato, grilled pepper, and grilled onion.) The veal looked more like lamb though it was less tender. The chicken/shish taouk (or tawook) in the middle was similarly a bit bland needing the toum. The kabob halabi was essentially kofta and was easily the best of the meats being pretty tender and quite flavorful but would just be passable at most other spots. The rice on the side both lacked the golden raisins listed in the photo and was undercooked and rather terrible and the dish also lacked the grilled onion shown in the photo. For around $40, this was not worth it (and frankly laughable with the rice.) I tried the lamb shawarma which was a lot tastier, the lamb kabob which was better (so I guess it was veal,) and essentially gave the rest of my toum to another person who was having a dry shish tawouk wrap. I'm not sure if I caught this place on a bad day but it's hard for me to find anything really positive about this spot at least from what I ordered. The best stuff was only good because the rest was bad and the passable food would be just alright in a good Lebanese spot. I understand if this place was comparatively cheaper than the other sit-down spots nearby but it wasn't. Go to Au Za'atar where the food is just better at a slightly higher price and the service is nicer. I don't get the reviews at all as everything was under-spiced or under-cooked. 2 at best."
Vicky P.,"Brooklyn, NY",5 star rating,"Apr 3, 2023","Wow. One of the best meals I've had in the city in a while. The family platter for 4 was more than enough food for a group of 5. The proteins (chicken, beef, lamb chops) were so flavorful and juicy. The veggies and the salads were also very fresh. There is a bit of a wait here despite having a reservation. But, it was worth the wait!"
